"","age","gender","region_category","membership_category","joined_through_referral","preferred_offer_types","medium_of_operation","internet_option","days_since_last_login","avg_time_spent","avg_transaction_value","avg_frequency_login_days","points_in_wallet","used_special_discount","offer_application_preference","past_complaint","complaint_status","feedback","churn_risk_score","Days_from","time_from_last_visit"
"29175",45,"F","Town","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",7,145.03,42179.69,12,533.67,"Yes","No","No","Not Applicable","Too many ads","5",404,152
"29178",24,"M","Town","Premium Membership","No","Without Offers","Desktop","Fiber_Optic",21,153.09,40317.59,18,268.206575937663,"No","Yes","No","Not Applicable","Too many ads","3",870,487
"29179",44,"M","City","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",18,101.38,44272.12,28,601.36,"Yes","No","Yes","Solved","No reason specified","4",845,416
"29182",28,"M","Village","Silver Membership","No","Gift Vouchers/Coupons","Both","Fiber_Optic",16,228.83,20973.02,16,799.37,"No","Yes","No","Not Applicable","Reasonable Price","2",282,372
"29183",19,"M","City","Silver Membership","No","Without Offers","Desktop","Fiber_Optic",5,58.67,21739.39,7,745.26,"No","Yes","Yes","No Information Available","Poor Customer Service","3",521,113
"29184",57,"M","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",14,826.09,41601.71,24,695.25,"Yes","Yes","Yes","No Information Available","Poor Customer Service","4",461,325
"29185",39,"M","Town","No Membership","Yes","Without Offers","Desktop","Fiber_Optic",23,34.97,24299.68,9,699.04,"Yes","No","No","Not Applicable","Poor Website","4",367,552
"29186",59,"M","City","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",16,1359.85396434998,43684.4,27,686.18,"No","Yes","No","Not Applicable","Poor Customer Service","4",443,384
"29187",44,"F","City","Basic Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",18,111.53,30539.29,19,613.73,"Yes","No","Yes","No Information Available","Poor Customer Service","5",906,430
"29189",14,"M","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",19,61.73,20433.8,17,725.54,"No","Yes","No","Not Applicable","No reason specified","3",999,436
"29190",56,"M","Village","Basic Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",12,129,23043.87,5,613.96,"Yes","No","Yes","Unsolved","Poor Product Quality","4",124,287
"29191",52,"M","Village","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",10,159.21,18582.8,25,676.69,"No","Yes","No","Not Applicable","Poor Customer Service","5",326,226
"29194",45,"F","Town","Premium Membership","Yes","Without Offers","Desktop","Fiber_Optic",19,39.77,54912.83,7,847.5,"Yes","No","No","Not Applicable","User Friendly Website","1",1068,450
"29196",28,"F","Village","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",16,32.53,44836.22,28,570.97,"Yes","No","No","Not Applicable","Poor Customer Service","5",1002,362
"29198",30,"M","Town","Basic Membership","No","Without Offers","Desktop","Mobile_Data",18,284.64,10035.61,16,134.753116759138,"No","Yes","Yes","Unsolved","No reason specified","5",649,425
"29201",42,"F","City","Gold Membership","No","Credit/Debit Card Offers","Both","Fiber_Optic",11,337.55,43656.04,14,768.83,"Yes","Yes","No","Not Applicable","Products always in Stock","2",622,242
"29202",38,"M","City","No Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",9,150.49,18292.74,9,679.48,"No","Yes","Yes","No Information Available","No reason specified","4",39,197
"29204",53,"F","City","Platinum Membership","Yes","Without Offers","Desktop","Wi-Fi",17,59.77,19814.49,4,842.99,"Yes","No","No","Not Applicable","Products always in Stock","1",19,399
"29205",52,"M","City","No Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",19,254.97,36057.18,20,650.09,"No","Yes","Yes","Solved in Follow-up","Too many ads","5",495,454
"29206",50,"M","Town","Platinum Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",14,530.16,33898.37,7,787.6,"Yes","No","No","Not Applicable","Quality Customer Care","2",675,330
"29208",21,"F","Village","No Membership","Yes","Without Offers","Both","Mobile_Data",17,551.27,16546.06,24,610.44,"Yes","No","Yes","Unsolved","Poor Customer Service","5",533,388
"29209",19,"M","City","Basic Membership","Yes","Without Offers","Smartphone","Wi-Fi",19,153.86,43499.43,17,617.5,"No","Yes","Yes","Solved in Follow-up","No reason specified","5",62,442
"29211",45,"M","City","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",14,194.46,47234.82,17,857.343591604637,"No","Yes","Yes","No Information Available","Poor Website","4",125,321
"29212",34,"F","Village","Silver Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",9,70.09,36286.27,18,757.25,"Yes","No","Yes","Solved in Follow-up","Too many ads","3",784,203
"29217",56,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",3,400.43,42407.08,23,614.91,"Yes","Yes","No","Not Applicable","Poor Website","5",953,69
"29218",40,"M","City","Basic Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",13,33.11,25795.47,14,158.798672804451,"No","Yes","No","Not Applicable","Poor Website","5",93,299
"29219",22,"F","Village","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",13,33.42,33906.6,22,682.18,"No","Yes","Yes","Solved in Follow-up","Too many ads","4",410,296
"29220",62,"M","City","Premium Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",7,40.1,46012.83,26,701.29,"Yes","No","No","Not Applicable","Poor Product Quality","3",468,147
"29221",50,"M","Town","Platinum Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",12,57.15,32404.95,20,408.20458142138,"Yes","No","No","Not Applicable","No reason specified","3",730,278
"29225",22,"M","Town","Gold Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",7,48.14,37576.53,8,545.550253480807,"Yes","No","Yes","Solved in Follow-up","Reasonable Price","1",479,162
"29227",18,"M","City","Basic Membership","Yes","Without Offers","Desktop","Wi-Fi",13,41.35,49048.36,6,678.82,"Yes","No","No","Not Applicable","Poor Product Quality","5",553,312
"29228",15,"M","City","Basic Membership","No","Gift Vouchers/Coupons","Both","Wi-Fi",11,245.05,2991.51,20,958.103583146748,"No","Yes","No","Not Applicable","No reason specified","5",134,263
"29229",11,"F","Town","No Membership","Yes","Without Offers","Desktop","Mobile_Data",21,34.52,24515.17,47.6418467918022,514.01,"Yes","No","No","Not Applicable","Poor Product Quality","5",477,482
"29230",46,"F","Town","Platinum Membership","No","Without Offers","Smartphone","Mobile_Data",12,38.32,48507.11,23,706.87,"Yes","No","Yes","Unsolved","Poor Website","3",868,288
"29232",56,"M","Village","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",9,642.94,36552.38,19,719.67,"Yes","Yes","Yes","Unsolved","Poor Website","4",377,208
"29234",59,"F","City","Gold Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",11,406.16,42547.75,27,761.1,"Yes","No","Yes","Solved in Follow-up","Poor Website","3",371,263
"29235",46,"M","Town","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",10,1217.31631155327,43282.25,8,625.59,"Yes","No","No","Not Applicable","Poor Customer Service","5",480,228
"29236",23,"F","Town","Platinum Membership","No","Without Offers","Smartphone","Wi-Fi",17,163.48,49167.35,8,763.74,"Yes","No","Yes","No Information Available","Poor Customer Service","3",702,408
"29238",57,"M","City","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",20,31.8,19516.48,7,719.57,"No","Yes","No","Not Applicable","Poor Customer Service","4",919,465
"29240",52,"M","Village","Basic Membership","Yes","Credit/Debit Card Offers","Both","Mobile_Data",14,523.53,32600.94,25,567.77,"Yes","No","Yes","Unsolved","Poor Customer Service","5",1051,319
"29241",26,"M","Town","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",7,341.65,9214.41,9,648.25,"Yes","No","No","Not Applicable","Too many ads","4",646,151
"29242",27,"M","Village","Premium Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",18,32.36,29983.72,12,768.48,"Yes","No","Yes","Unsolved","Poor Product Quality","3",870,424
"29243",58,"M","Town","Basic Membership","No","Without Offers","Smartphone","Mobile_Data",11,33.59,6914.86,18,603.71,"No","Yes","Yes","No Information Available","No reason specified","5",332,250
"29245",64,"M","Town","Silver Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",10,59.69,41948.81,26,709.67,"No","Yes","Yes","Solved","Too many ads","4",126,229
"29249",21,"F","City","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",8,49.63,29780.08,12,609.94,"No","Yes","Yes","Unsolved","No reason specified","4",490,190
"29255",27,"F","Town","No Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",23,40.59,43559.48,34.6330753293163,653.07,"Yes","No","No","Not Applicable","Poor Website","4",689,542
"29256",18,"M","Town","Premium Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",14,246.21,75742.89,13,761.76,"No","Yes","Yes","No Information Available","User Friendly Website","1",562,326
"29257",28,"F","Town","Platinum Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",11,43.86,45635.76,10,459.513542392721,"No","Yes","No","Not Applicable","Poor Customer Service","3",866,253
"29259",40,"M","City","Gold Membership","No","Credit/Debit Card Offers","Both","Wi-Fi",13,315.62,10890.49,23,763.05,"No","Yes","Yes","Solved","No reason specified","3",800,306
"29261",32,"F","City","Premium Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",8,64.98,31014.19,28,725.25,"Yes","No","Yes","Solved","Poor Website","3",897,177
"29264",42,"M","City","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",22,108.27,56173.46,30.2020332446098,703.82,"Yes","No","No","Not Applicable","Products always in Stock","2",784,515
"29266",50,"F","City","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",4,157.13,12515.76,19,717.55,"No","Yes","No","Not Applicable","Poor Website","4",878,81
"29267",32,"M","City","No Membership","No","Without Offers","Smartphone","Mobile_Data",4,104.24,13979.15,6,515.78,"Yes","No","No","Not Applicable","Poor Customer Service","5",759,84
"29270",44,"F","City","No Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",15,51.9,49853.42,11,678.46,"No","Yes","Yes","No Information Available","Poor Customer Service","4",1023,351
"29273",62,"F","City","Basic Membership","No","Without Offers","Smartphone","Wi-Fi",13,197.6,39574.25,14,662.57,"No","Yes","No","Not Applicable","Poor Website","4",1087,305
"29277",10,"M","Town","Silver Membership","Yes","Without Offers","Desktop","Wi-Fi",11,68.9,3653.71,24,667.27,"No","Yes","Yes","Solved in Follow-up","Too many ads","4",169,256
"29279",13,"M","Town","Platinum Membership","Yes","Without Offers","Desktop","Wi-Fi",17,675.35,44216.1,19,739.76,"Yes","Yes","No","Not Applicable","Too many ads","3",839,393
"29283",41,"M","City","Premium Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",21,106.92,22397.3,5,288.413463656146,"No","Yes","No","Not Applicable","Poor Product Quality","3",130,493
"29284",29,"M","Village","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",14,33.1,6600.18,15,698.25,"No","Yes","No","Not Applicable","Poor Product Quality","4",1046,318
"29286",63,"M","Town","Premium Membership","Yes","Gift Vouchers/Coupons","Both","Mobile_Data",6,268.59,13937.63,28,700.01,"Yes","No","Yes","No Information Available","Poor Customer Service","3",878,136
"29287",14,"M","Town","No Membership","Yes","Credit/Debit Card Offers","Both","Fiber_Optic",13,723.81,32213.65,19,604.24,"Yes","No","No","Not Applicable","Too many ads","5",293,303
"29290",58,"M","Town","Silver Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",1,704.21,7068.89,13,693.44,"Yes","Yes","Yes","Solved in Follow-up","Poor Customer Service","4",205,7
"29291",48,"M","Town","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",18,119.75,23772.19,25,641.41,"No","Yes","Yes","Solved in Follow-up","No reason specified","5",868,420
"29292",26,"F","Town","No Membership","Yes","Gift Vouchers/Coupons","Both","Fiber_Optic",10,597.91,48450.89,18,509.82,"Yes","Yes","No","Not Applicable","Poor Website","5",87,219
"29293",17,"F","City","Basic Membership","No","Without Offers","Desktop","Mobile_Data",17,45.15,33150.27,26,694.38,"Yes","No","No","Not Applicable","No reason specified","4",1093,397
"29298",20,"F","City","Platinum Membership","Yes","","Desktop","Fiber_Optic",10,409.26,12028.38,12,784.76,"No","Yes","Yes","Solved","No reason specified","3",909,227
"29299",46,"F","Village","Premium Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",16,87.54,16065.23,16,754.95,"Yes","No","No","Not Applicable","Poor Website","3",571,383
"29300",21,"M","City","Silver Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",20,133.66,14852.21,14,413.068253171137,"No","Yes","Yes","No Information Available","Too many ads","3",851,461
"29301",61,"F","City","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",9,30.97,38364.97,7,566.35,"No","Yes","Yes","Solved in Follow-up","Poor Product Quality","5",1000,200
"29302",25,"M","City","Platinum Membership","Yes","Without Offers","Smartphone","Wi-Fi",8,139.72,25521.48,13,735.3,"Yes","No","Yes","No Information Available","Poor Product Quality","3",646,187
"29303",53,"F","City","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",7,691.24,45636.21,27,764.3,"Yes","Yes","Yes","No Information Available","Too many ads","3",1023,155
"29304",27,"F","City","No Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",22,239.35,6977.63,28,563.25,"Yes","No","Yes","Unsolved","Too many ads","5",335,507
"29306",11,"M","Village","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",20,308.67,20716.62,13,570.21,"No","Yes","Yes","Unsolved","Poor Website","5",898,476
"29308",38,"F","Village","Basic Membership","Yes","Without Offers","Smartphone","Fiber_Optic",10,580.56,9728.29,29,690.3,"Yes","No","Yes","Solved in Follow-up","Poor Website","4",57,230
"29309",38,"M","City","Silver Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",13,525.91,25480.38,21,666.61,"Yes","No","Yes","No Information Available","Poor Product Quality","4",347,297
"29310",59,"M","City","No Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",20,163.49,38413.61,9,659.45,"Yes","No","No","Not Applicable","No reason specified","5",922,460
"29313",48,"M","City","No Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",19,30.9,38802.29,5,613.82,"Yes","No","No","Not Applicable","Poor Product Quality","5",873,442
"29316",29,"M","Town","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",10,353.13,11447.11,28,502.19,"Yes","No","No","Not Applicable","Too many ads","5",155,235
"29320",41,"F","Town","Gold Membership","Yes","Without Offers","Both","Mobile_Data",6,1595.38780937438,30957.27,24,711.55,"Yes","Yes","Yes","No Information Available","No reason specified","4",39,130
"29321",63,"M","City","Platinum Membership","Yes","Without Offers","Smartphone","Fiber_Optic",11,315,2443.8,6,715.98,"Yes","No","Yes","Solved in Follow-up","Poor Customer Service","3",846,250
"29322",16,"F","City","Premium Membership","Yes","Without Offers","Smartphone","Fiber_Optic",6,124.15,89727.85,14,749.89,"Yes","No","Yes","Unsolved","Reasonable Price","2",792,130
"29323",36,"M","Town","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",23,82.48,59883.44,16,789.31,"No","Yes","Yes","Unsolved","User Friendly Website","1",293,549
"29324",39,"M","Town","Basic Membership","No","Without Offers","Smartphone","Fiber_Optic",7,2026.77117942583,16828.23,27,979.052379091995,"No","Yes","No","Not Applicable","Poor Product Quality","4",435,154
"29326",35,"F","Town","No Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",15,151.93,41055.92,26,655.09,"Yes","No","No","Not Applicable","Poor Product Quality","4",959,357
"29329",57,"F","City","Platinum Membership","No","Gift Vouchers/Coupons","Both","Fiber_Optic",13,267.78,6506.63,17,755.54,"No","Yes","Yes","Unsolved","Poor Product Quality","3",1046,291
"29330",36,"F","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",18,156.27,12768.43,10,632.06,"Yes","No","Yes","Solved in Follow-up","No reason specified","4",1085,413
"29332",40,"F","Town","Platinum Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",18,33.28,4681.51,8,775.4,"No","Yes","No","Not Applicable","Products always in Stock","1",346,412
"29336",46,"M","City","Silver Membership","No","Gift Vouchers/Coupons","Both","Mobile_Data",19,455.32,27089.08,23,772.03,"Yes","No","No","Not Applicable","Poor Product Quality","3",131,443
"29337",57,"M","Town","Silver Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",6,87.57,44268.63,10,749.87,"Yes","No","Yes","No Information Available","Too many ads","3",811,121
"29342",62,"F","City","Premium Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",24,114.4,1391.25,5,453.796558822183,"Yes","No","Yes","Unsolved","No reason specified","3",954,572
"29343",34,"F","Town","No Membership","Yes","Without Offers","Desktop","Wi-Fi",19,34.02,25571.11,23,684.79,"Yes","No","No","Not Applicable","Too many ads","4",719,441
"29345",22,"F","City","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",12,52.18,45538.23,14,690.05,"No","Yes","Yes","Solved","Poor Product Quality","4",712,288
"29346",11,"F","Town","No Membership","Yes","Without Offers","Desktop","Wi-Fi",17,303.35,4515.58,13,1288.81164080221,"No","Yes","Yes","Unsolved","Too many ads","4",16,391
"29348",22,"F","City","Gold Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",9,503.1,44934.19,24,796.91,"Yes","No","No","Not Applicable","Too many ads","3",931,197
"29352",60,"F","Town","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",7,567.09,30124.06,9,507.9,"Yes","Yes","Yes","Solved in Follow-up","Poor Product Quality","5",39,168
"29358",60,"M","Town","Premium Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",16,271.2,8239.37,15,737.76,"No","Yes","No","Not Applicable","Poor Product Quality","3",754,374
"29361",64,"M","City","Gold Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",23,253.22,49587.71,32.0770003508537,631.34,"Yes","No","No","Not Applicable","No reason specified","4",607,543
"29363",45,"F","Town","Silver Membership","Yes","Credit/Debit Card Offers","Both","Fiber_Optic",16,505.07,48043.62,5,690.29,"No","Yes","Yes","No Information Available","Poor Website","4",148,367
"29367",57,"F","Town","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",16,119.15,34376.71,5,683.3,"No","Yes","No","Not Applicable","Poor Product Quality","4",967,377
"29368",12,"F","Town","Basic Membership","Yes","Without Offers","Smartphone","Mobile_Data",14,35.65,42602.93,14,542.31,"Yes","No","No","Not Applicable","No reason specified","5",1068,330
"29374",34,"F","Town","No Membership","No","Without Offers","Desktop","Wi-Fi",11,60.92,10117.21,15,577.55,"No","Yes","Yes","Unsolved","Poor Customer Service","5",181,264
"29376",14,"M","City","Silver Membership","No","Without Offers","Smartphone","Mobile_Data",20,35.24,31457.67,11,745.29,"No","Yes","Yes","No Information Available","Quality Customer Care","2",534,471
"29377",57,"F","City","Silver Membership","Yes","Without Offers","Desktop","Mobile_Data",11,630.09,31122.64,11,1189.06823765536,"Yes","No","Yes","Solved in Follow-up","No reason specified","3",978,248
"29378",33,"F","Town","Gold Membership","Yes","Without Offers","Desktop","Mobile_Data",16,711.72,9768.32,15,768.26,"No","Yes","Yes","Unsolved","User Friendly Website","1",568,371
"29379",10,"M","Town","No Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",11,393.08,5778.43,16,599.9,"Yes","No","No","Not Applicable","No reason specified","5",233,247
"29380",47,"M","Town","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",13,860.77,23279.11,21,961.315574522096,"Yes","Yes","Yes","Solved","Poor Website","5",64,307
"29381",51,"M","Village","Silver Membership","Yes","","Desktop","Fiber_Optic",21,326.79,46412.47,42.3057950648168,772.8,"Yes","No","Yes","No Information Available","Products always in Stock","2",354,490
"29385",33,"M","Town","Platinum Membership","Yes","Without Offers","Desktop","Wi-Fi",10,593.59,12346.2,8,755.71,"Yes","No","No","Not Applicable","Reasonable Price","2",747,229
"29388",58,"F","Town","Platinum Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",11,126.47,90356.1,7,821.81,"No","Yes","Yes","Solved","Products always in Stock","1",515,248
"29389",45,"M","Town","Platinum Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",20,309.39,34210.89,16,790.26,"Yes","No","Yes","Solved","Poor Customer Service","3",372,459
"29390",17,"M","City","Basic Membership","Yes","Without Offers","Smartphone","Wi-Fi",22,107.64,29259.58,9,630.88,"Yes","No","Yes","Unsolved","Poor Product Quality","5",607,523
"29392",42,"F","Town","Gold Membership","Yes","Without Offers","Smartphone","Mobile_Data",16,1462.66,42488.16,23,790.65,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service","3",441,376
"29394",51,"F","Town","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",13,126.27,38769.53,18,263.713294648223,"Yes","No","Yes","Solved in Follow-up","No reason specified","5",619,301
"29395",35,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",16,30.06,17278.17,15,694.03,"No","Yes","No","Not Applicable","Poor Product Quality","4",285,381
"29397",50,"F","Village","Gold Membership","Yes","Without Offers","Desktop","Fiber_Optic",14,32.89,52989.02,3,842.61,"Yes","No","Yes","Solved","User Friendly Website","1",527,314
"29399",59,"F","City","No Membership","Yes","Without Offers","Desktop","Wi-Fi",16,31.32,27072.29,7,1198.28326628251,"No","Yes","No","Not Applicable","No reason specified","5",25,363
"29401",12,"F","City","No Membership","Yes","Gift Vouchers/Coupons","Both","Mobile_Data",3,1635.63,10003.24,20,518.83,"Yes","No","Yes","No Information Available","Poor Customer Service","5",571,62
"29402",38,"M","City","No Membership","Yes","Without Offers","Smartphone","Mobile_Data",13,94.64,34242.83,20,594.49,"Yes","No","No","Not Applicable","Poor Website","5",72,305
"29404",49,"F","Town","Silver Membership","No","Gift Vouchers/Coupons","Both","Mobile_Data",15,454.05,31359.58,14,727.96,"Yes","Yes","No","Not Applicable","Poor Website","3",89,344
"29405",16,"M","City","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",9,773.58,21987.32,16,795.92,"Yes","Yes","Yes","No Information Available","Poor Customer Service","3",427,197
"29406",59,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Both","Fiber_Optic",11,228.35,24421.7,21,624.88,"Yes","No","No","Not Applicable","Poor Product Quality","4",993,259
"29407",46,"M","City","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",17,55.72,19006.3,15,542.56,"Yes","No","No","Not Applicable","Poor Website","5",1014,404
"29409",29,"F","Town","Premium Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",25,188.49,47939.64,23,780.18,"Yes","No","No","Not Applicable","Poor Customer Service","3",553,593
"29410",44,"M","Town","Basic Membership","No","Credit/Debit Card Offers","Both","Mobile_Data",9,738.32,2993.27,21,354.453965797637,"Yes","Yes","No","Not Applicable","No reason specified","4",1067,203
"29415",55,"F","Village","No Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",5,115.92,21790.2,20,619.76,"No","Yes","Yes","Solved","Poor Product Quality","5",789,109
"29416",48,"M","Town","Basic Membership","Yes","Without Offers","Smartphone","Mobile_Data",20,103.88,8738.27,24,460.832056028282,"No","Yes","Yes","Unsolved","Poor Website","4",711,467
"29418",25,"F","Town","Silver Membership","Yes","Without Offers","Smartphone","Fiber_Optic",16,135.87,15402.76,14,308.344357169742,"No","Yes","No","Not Applicable","No reason specified","3",320,379
"29421",13,"F","Town","Premium Membership","No","Without Offers","Smartphone","Fiber_Optic",9,499.94,18622.61,24,718.72,"Yes","No","Yes","Unsolved","No reason specified","3",339,214
"29426",33,"F","City","No Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",13,182.5,47602.98,20,634.1,"No","Yes","No","Not Applicable","Poor Customer Service","5",410,291
"29427",20,"F","City","Basic Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",14,167.14,2511.78,26,589.98,"Yes","No","No","Not Applicable","Poor Website","5",885,324
"29429",54,"F","Town","Gold Membership","Yes","Without Offers","Both","Wi-Fi",11,1015.61,72353.67,7,784.335283292382,"Yes","Yes","Yes","Unsolved","User Friendly Website","1",161,251
"29432",13,"F","City","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",12,256.65,70172.44,7,792.52,"No","Yes","Yes","Solved in Follow-up","Products always in Stock","2",821,266
"29433",31,"M","Village","Gold Membership","Yes","Without Offers","Desktop","Fiber_Optic",5,31.63,32618.66,19,801.91,"Yes","No","No","Not Applicable","Reasonable Price","1",632,97
"29435",35,"M","Village","No Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",17,221.23,49892.03,25,584.61,"No","Yes","Yes","No Information Available","Too many ads","5",306,390
"29437",24,"M","City","No Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",9,70.92,4637.4,6,543.43,"No","Yes","No","Not Applicable","Too many ads","5",87,206
"29439",16,"F","City","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",9,411.81,17883.02,27,608.75,"Yes","No","Yes","Solved","Poor Website","4",893,213
"29443",13,"F","Town","Premium Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",11,70.33,32899.42,18,474.451981746873,"Yes","No","Yes","Solved in Follow-up","Poor Website","3",159,251
"29447",27,"M","City","Platinum Membership","Yes","Gift Vouchers/Coupons","Both","Wi-Fi",8,803.83,89137.36,13,807.94,"Yes","Yes","Yes","Unsolved","User Friendly Website","1",347,182
"29448",12,"M","Town","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",14,34.29,15656.28,9,453.500569931028,"No","Yes","No","Not Applicable","User Friendly Website","2",724,315
"29451",55,"F","Town","Silver Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",1,74.85,24563.63,16,652.02,"No","Yes","No","Not Applicable","No reason specified","4",684,15
"29453",48,"F","City","Silver Membership","No","Without Offers","Smartphone","Wi-Fi",4,119.52,24855.57,14,685.196335195945,"Yes","No","No","Not Applicable","Poor Website","4",159,75
"29454",15,"F","City","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",5,274.32,31209.61,22,632.72,"Yes","No","No","Not Applicable","Poor Customer Service","4",241,100
"29455",50,"F","Village","No Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",4,433.19,38314.56,15,662.74,"No","Yes","Yes","Solved in Follow-up","Poor Product Quality","5",145,81
"29456",57,"M","Village","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",11,34.94,25577.38,6,690.24,"No","Yes","Yes","Solved","Poor Product Quality","4",554,251
"29457",28,"F","City","Premium Membership","No","Without Offers","Smartphone","Mobile_Data",14,328.04,24954.87,29,702.86,"Yes","Yes","Yes","No Information Available","Poor Website","3",320,334
"29459",18,"M","City","Silver Membership","No","Without Offers","Smartphone","Fiber_Optic",18,200.43,14721.79,20,721.68,"No","Yes","No","Not Applicable","No reason specified","3",36,420
